Department,Chart,Metric,Date,Volume,Result,Explanation
AFR,fire_response,90th Percentile Turnout Time of Fire Response,2/10/2015,,156,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,3/10/2015,,143,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,4/10/2015,,184,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,5/10/2015,,159,
AFR,fire_response,90th Percentile Turnout Time of Fire Response,6/10/2015,,156,
AFR,ems_calls_for_service,Number of EMS Calls for Service,6/10/2014,,4175,
AFR,ems_calls_for_service,Number of EMS Calls for Service,7/10/2014,,4503,
AFR,ems_calls_for_service,Number of EMS Calls for Service,8/10/2014,,5526,
AFR,ems_calls_for_service,Number of EMS Calls for Service,9/10/2014,,5628,
AFR,ems_calls_for_service,Number of EMS Calls for Service,10/10/2014,,5393,
AFR,ems_calls_for_service,Number of EMS Calls for Service,11/10/2014,,5259,
AFR,ems_calls_for_service,Number of EMS Calls for Service,12/10/2014,,5402,
AFR,ems_calls_for_service,Number of EMS Calls for Service,1/10/2015,,5435,
AFR,ems_calls_for_service,Number of EMS Calls for Service,2/10/2015,,4691,
AFR,ems_calls_for_service,Number of EMS Calls for Service,3/10/2015,,5528,
AFR,ems_calls_for_service,Number of EMS Calls for Service,4/10/2015,,5180,
AFR,ems_calls_for_service,Number of EMS Calls for Service,5/10/2015,,5533,
AFR,ems_calls_for_service,Number of EMS Calls for Service,6/10/2015,,5382,
AFR,fire_calls_for_service,Number of Fire Calls for Service,6/10/2014,,759,
AFR,fire_calls_for_service,Number of Fire Calls for Service,7/10/2014,,819,
AFR,fire_calls_for_service,Number of Fire Calls for Service,8/10/2014,,896,
AFR,fire_calls_for_service,Number of Fire Calls for Service,9/10/2014,,891,
AFR,fire_calls_for_service,Number of Fire Calls for Service,10/10/2014,,884,
AFR,fire_calls_for_service,Number of Fire Calls for Service,11/10/2014,,898,
AFR,fire_calls_for_service,Number of Fire Calls for Service,12/10/2014,,774,
AFR,fire_calls_for_service,Number of Fire Calls for Service,1/10/2015,,909,
AFR,fire_calls_for_service,Number of Fire Calls for Service,2/10/2015,,818,
AFR,fire_calls_for_service,Number of Fire Calls for Service,3/10/2015,,795,
AFR,fire_calls_for_service,Number of Fire Calls for Service,4/10/2015,,818,
AFR,fire_calls_for_service,Number of Fire Calls for Service,5/10/2015,,887,
AFR,fire_calls_for_service,Number of Fire Calls for Service,6/10/2015,,863,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,3/10/2012,32571,0.91,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,4/10/2012,31498,0.91,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,5/10/2012,34039,0.91,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,6/10/2012,34050,0.91,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,7/10/2012,34987,0.91,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,8/10/2012,33288,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,9/10/2012,32159,0.95,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,10/10/2012,32830,0.97,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,11/10/2012,28079,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,12/10/2012,29645,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,1/10/2013,29895,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,2/10/2013,25277,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,3/10/2013,29337,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,4/10/2013,30436,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,5/10/2013,31358,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,6/10/2013,33864,0.9,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,7/10/2013,33959,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,8/10/2013,32456,0.91,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,9/10/2013,30776,0.92,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,10/10/2013,30844,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,11/10/2013,27968,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,12/10/2013,28737,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,1/10/2014,31323,0.95,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,2/10/2014,,0.91,No volume due to reporting error during snow storm
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,3/10/2014,32197,0.95,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,4/10/2014,33254,0.95,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,5/10/2014,32192,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,6/10/2014,32285,0.95,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,7/10/2014,32429,0.95,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,8/10/2014,32842,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,9/10/2014,31381,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,10/10/2014,31212,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,11/10/2014,26888,0.91,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,12/10/2014,29277,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,1/10/2015,28722,0.95,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,2/10/2015,24579,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,3/10/2015,30682,0.93,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,4/10/2015,31372,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,5/10/2015,32798,0.95,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,6/10/2015,34291,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,7/10/2015,34686,0.96,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,8/10/2015,34635,0.94,
APD,e911_call_center,% Calls Answered In 10 Seconds or Less,9/10/2015,33411,0.93,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,1/10/2010,,-0.23,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,2/10/2010,,-0.25,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,3/10/2010,,-0.2,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,4/10/2010,,-0.16,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,5/10/2010,,-0.14,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,6/10/2010,,-0.14,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,7/10/2010,,-0.13,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,8/10/2010,,-0.12,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,9/10/2010,,-0.1,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,10/10/2010,,-0.11,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,11/10/2010,,-0.11,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,12/10/2010,,-0.1,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,1/10/2011,,-0.02,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,2/10/2011,,-0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,3/10/2011,,-0.02,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,4/10/2011,,-0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,5/10/2011,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,6/10/2011,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,7/10/2011,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,8/10/2011,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,9/10/2011,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,10/10/2011,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,11/10/2011,,-0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,12/10/2011,,-0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,1/10/2012,,0.04,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,2/10/2012,,0.03,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,3/10/2012,,0.02,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,4/10/2012,,-0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,5/10/2012,,-0.02,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,6/10/2012,,-0.02,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,7/10/2012,,-0.03,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,8/10/2012,,-0.02,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,9/10/2012,,-0.03,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,10/10/2012,,-0.04,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,11/10/2012,,-0.04,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,12/10/2012,,-0.07,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,12/20/2012,,-0.05,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,1/10/2013,,0.06,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,2/10/2013,,0.06,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,3/10/2013,,0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,4/10/2013,,-0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,5/10/2013,,-0.03,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,6/10/2013,,-0.03,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,7/10/2013,,-0.02,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,8/10/2013,,-0.04,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,9/10/2013,,-0.03,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,10/10/2013,,-0.03,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,11/10/2013,,-0.04,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,12/10/2013,,-0.04,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,1/10/2014,,-0.18,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,2/10/2014,,-0.15,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,3/10/2014,,-0.12,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,4/10/2014,,-0.1,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,5/10/2014,,-0.1,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,6/10/2014,,-0.09,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,7/10/2014,,-0.09,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,8/10/2014,,-0.08,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,9/10/2014,,-0.08,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,10/10/2014,,-0.08,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,11/10/2014,,-0.05,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,12/10/2014,,-0.04,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,1/10/2015,,0.06,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,2/10/2015,,0.03,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,3/10/2015,,0.02,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,4/10/2015,,-0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,5/10/2015,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,6/10/2015,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,6/10/2015,,0,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,7/10/2015,,-0.01,
APD,overall_crime,YTD % Change Year Over Year In UCR Crime - Overall,8/10/2015,,0.01,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,6/10/2013,,-0.14,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,7/10/2013,,-0.14,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,8/10/2013,,-0.17,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,9/10/2013,,-0.17,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,10/10/2013,,-0.16,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,11/10/2013,,-0.16,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,12/10/2013,,-0.16,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,1/10/2014,,-0.08,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,2/10/2014,,-0.12,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,3/10/2014,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,4/10/2014,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,5/10/2014,,-0.06,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,6/10/2014,,-0.06,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,7/10/2014,,-0.06,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,8/10/2014,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,9/10/2014,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,10/10/2014,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,11/10/2014,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,12/10/2014,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,1/10/2015,,-0.1,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,2/10/2015,,-0.11,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,3/10/2015,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,4/10/2015,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,5/10/2015,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,6/10/2015,,0,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,6/10/2015,,0,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,7/10/2015,,-0.01,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 1,8/10/2015,,0,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,6/10/2013,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,7/10/2013,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,8/10/2013,,-0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,9/10/2013,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,10/10/2013,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,11/10/2013,,-0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,12/10/2013,,-0.06,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,1/10/2014,,-0.13,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,2/10/2014,,-0.14,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,3/10/2014,,-0.08,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,4/10/2014,,-0.09,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,5/10/2014,,-0.1,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,6/10/2014,,-0.08,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,7/10/2014,,-0.08,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,8/10/2014,,-0.09,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,9/10/2014,,-0.1,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,10/10/2014,,-0.09,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,11/10/2014,,-0.06,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,12/10/2014,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,1/10/2015,,0.25,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,2/10/2015,,0.16,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,3/10/2015,,0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,4/10/2015,,0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,5/10/2015,,0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,6/10/2015,,0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,6/10/2015,,0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,7/10/2015,,0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 2,8/10/2015,,0.09,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,6/10/2013,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,7/10/2013,,-0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,8/10/2013,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,9/10/2013,,-0.06,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,10/10/2013,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,11/10/2013,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,12/10/2013,,-0.06,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,1/10/2014,,-0.17,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,2/10/2014,,-0.11,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,3/10/2014,,-0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,4/10/2014,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,5/10/2014,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,6/10/2014,,-0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,7/10/2014,,-0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,8/10/2014,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,9/10/2014,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,10/10/2014,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,11/10/2014,,0,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,12/10/2014,,-0.01,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,1/10/2015,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,2/10/2015,,-0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,3/10/2015,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,4/10/2015,,-0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,5/10/2015,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,6/10/2015,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,6/10/2015,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,7/10/2015,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 3,8/10/2015,,-0.02,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,6/10/2013,,0.01,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,7/10/2013,,0,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,8/10/2013,,-0.01,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,9/10/2013,,0.01,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,10/10/2013,,0,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,11/10/2013,,-0.02,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,12/10/2013,,-0.03,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,1/10/2014,,-0.24,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,2/10/2014,,-0.21,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,3/10/2014,,-0.19,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,4/10/2014,,-0.11,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,5/10/2014,,-0.11,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,6/10/2014,,-0.13,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,7/10/2014,,-0.14,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,8/10/2014,,-0.12,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,9/10/2014,,-0.12,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,10/10/2014,,-0.1,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,11/10/2014,,-0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,12/10/2014,,-0.06,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,1/10/2015,,0.04,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,2/10/2015,,0.05,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,3/10/2015,,0.07,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,4/10/2015,,0.01,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,5/10/2015,,-0.01,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,6/10/2015,,0,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,6/10/2015,,0,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,7/10/2015,,0.02,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 4,8/10/2015,,0.02,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 5,6/10/2013,,0.02,
APD,crime_by_zone,YTD % Change Year Over Year In UCR Crime - Zone 5,7/10/2013,,0.03,
